route_name,route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability,state,id
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),09:35,06h 00m,15:35,4.6,356.0,39,Andhra Pradesh,114
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),11:40,07h 30m,19:10,4.3,450.0,39,Andhra Pradesh,115
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),04:30,06h 05m,10:35,4.3,364.0,19,Andhra Pradesh,116
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),10:35,06h 00m,16:35,4.3,356.0,42,Andhra Pradesh,117
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:20,05h 35m,04:55,4.2,782.0,25,Andhra Pradesh,118
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),22:30,05h 55m,04:25,4.3,432.0,42,Andhra Pradesh,119
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),23:45,06h 40m,06:25,4.2,450.0,29,Andhra Pradesh,120
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),21:50,06h 15m,04:05,4.2,511.0,20,Andhra Pradesh,121
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),23:25,06h 05m,05:30,4.2,432.0,40,Andhra Pradesh,122
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),14:35,06h 00m,20:35,4.3,356.0,36,Andhra Pradesh,123
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Svkdt travels,A/C Sleeper (2+1),23:20,06h 54m,06:14,4.2,720.0,26,Andhra Pradesh,124
