Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability,State
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,AdSai Dasari Travels,Non A/C Seater / Sleeper (2+1),22:59,07h 11m,06:10,4.5,INR 550,21 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,05h 40m,05:25,4.7,INR 495,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),16:20,06h 55m,23:15,4.6,450,36 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:25,06h 50m,06:15,4.7,INR 565,29 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:10,07h 20m,05:30,3.8,INR 550,27 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,GMRK Tours and Travels,Bharat Benz A/C Sleeper (2+1),23:45,06h 15m,06:00,4.6,INR 599,23 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),22:30,06h 50m,05:20,4.5,450,24 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,KPS Buses,A/C Sleeper (2+1),23:55,06h 05m,06:00,4.6,648,23 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,AC Sleeper (2+1),23:40,05h 30m,05:10,4.5,INR 764,21 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),17:30,06h 45m,00:15,4.2,450,29 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Yolo Bus,A/C Seater / Sleeper (2+1),23:21,06h 50m,06:11,4.6,630,23 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Sanvi Tours and Travels,A/C Sleeper (2+1),23:25,05h 52m,05:17,4.5,674,32 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),12:30,05h 10m,17:40,4.5,450,35 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),11:10,07h 00m,18:10,4.4,500,41 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),16:00,06h 10m,22:10,4.5,404,29 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Durga Malleswari Travels,A/C Sleeper (2+1),22:30,07h 15m,05:45,4.6,740,12 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:00,06h 45m,05:45,4.4,INR 539,29 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,05h 10m,05:00,4.4,INR 572,20 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),06:30,06h 00m,12:30,4.4,404,30 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri KVR Travels,A/C Sleeper (2+1),23:45,05h 50m,05:35,4.3,INR 809,26 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),09:35,06h 00m,15:35,4.6,356,39 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),11:40,07h 30m,19:10,4.3,450,39 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),04:30,06h 05m,10:35,4.3,364,19 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),10:35,06h 00m,16:35,4.3,356,42 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:20,05h 35m,04:55,4.2,INR 782,25 Seats available,Andhra Pradesh
